"","gage_id","PRE","Lead_time_month"
"1","11381500_16",7.40426865366533,1
"2","11383500_17",9.32507856210544,1
"3","12358500_18",7.81028542975316,1
"4","12390700_15",12.9958347973489,1
"5","12411000_12",7.79352963219376,1
"6","12413000_14",10.4168627742797,1
"7","12413000_16",10.5856354226274,1
"8","12414500_15",15.756091240803,1
"9","12414500_16",16.8101155661,1
"10","12414500_17",22.023042502938,1
"11","12414500_18",21.3454675233338,1
"12","12451000_14",18.72823394733,1
"13","12451000_15",11.9381286573904,1
"14","12452800_13",19.1374205437886,1
"15","12452800_14",18.0942120609174,1
"16","12452800_15",19.305525625798,1
"17","12452800_16",20.6670869968712,1
"18","12452800_17",10.942409874866,1
"19","13011500_23",32.9741028164148,1
"20","13011500_25",48.3749841492239,1
"21","13011500_26",44.4558479733546,1
"22","13011500_27",34.2086365152107,1
"23","13011900_23",16.9521491985622,1
"24","13011900_24",31.8451956690908,1
"25","13011900_25",32.4224591769897,1
"26","13011900_26",37.7409619745071,1
"27","13011900_27",18.4571117171026,1
"28","13011900_28",34.0585812266531,1
"29","13011900_30",8.90235738106647,1
"30","13161500_20",8.57722492814032,1
"31","13161500_22",10.1400067468858,1
"32","13185000_17",14.9133797360903,1
"33","13185000_18",17.487203624968,1
"34","13185000_19",24.3354338645796,1
"35","13185000_20",25.7858354118165,1
"36","13185000_21",23.8745228820437,1
"37","13185000_22",25.431889064716,1
"38","13185000_23",30.1649360207326,1
"39","13185000_24",32.5714581020217,1
"40","13185000_25",23.1322979855285,1
"41","13310700_18",23.4511514372803,1
"42","13310700_19",27.8202767313203,1
"43","13310700_20",35.5651425699158,1
"44","13310700_21",34.0568241646724,1
"45","13340000_12",16.4943555210011,1
"46","13340000_13",19.0089534499642,1
"47","13340000_14",15.7719438080578,1
"48","13340000_15",17.211466348454,1
"49","13340000_16",16.0613880488802,1
"50","13340000_17",17.5774034898722,1
"51","13340000_18",18.0572570468768,1
"52","13340000_19",25.8585084028889,1
"53","13340000_20",19.7346844984659,1
"54","13340000_21",15.6994942396856,1
"55","13340000_22",19.7510215921692,1
"56","13340600_12",14.3668380326314,1
"57","13340600_13",19.851278376464,1
"58","13340600_14",16.5408478592421,1
"59","13340600_15",22.4087289214989,1
"60","13340600_16",30.1270516995472,1
"61","13340600_17",21.9962416426277,1
"62","13340600_18",14.4413723771623,1
"63","14222500_5",10.6567453675202,1
"64","14222500_6",10.7911468494361,1
"65","9217900_31",11.2119885793897,1
"66","9223000_25",8.73958257153433,1
"67","9223000_26",8.67914164105988,1
"68","9312600_25",10.067554610608,1
"69","9312600_26",12.3787266409109,1
"70","9312600_27",17.3080833320436,1
"71","Sierra Nevada_11",11.5217373480248,1
"72","Sierra Nevada_12",10.8012883605526,1
"73","Sierra Nevada_13",11.2979723140155,1
"74","Sierra Nevada_14",12.2763727909182,1
"75","Sierra Nevada_15",12.9486464687751,1
"76","Sierra Nevada_16",13.7302943073894,1
"77","Sierra Nevada_17",9.10825795743102,1
"78","Sierra Nevada_19",8.86030757832097,1
"79","Sierra Nevada_2",11.8046534881314,1
"80","Sierra Nevada_20",8.00269018198375,1
"81","Sierra Nevada_21",12.1055772501848,1
"82","Sierra Nevada_22",12.6752487784521,1
"83","Sierra Nevada_23",8.6755526906026,1
"84","Sierra Nevada_26",8.24619333709146,1
"85","Sierra Nevada_27",11.5590340564631,1
"86","Sierra Nevada_28",15.0890084587915,1
"87","Sierra Nevada_29",20.0520074762142,1
"88","Sierra Nevada_3",15.2910727891764,1
"89","Sierra Nevada_30",25.3405742527934,1
"90","Sierra Nevada_31",26.3122777239304,1
"91","Sierra Nevada_32",22.4481065807306,1
"92","Sierra Nevada_33",22.219830884846,1
"93","Sierra Nevada_34",22.4362530016123,1
"94","Sierra Nevada_35",19.2373025416663,1
"95","Sierra Nevada_4",11.8119123682997,1
"96","Upper Colorado Region_15",11.9895975127387,1
"97","Upper Colorado Region_16",12.0058743846421,1
"98","Upper Colorado Region_17",15.1756436511571,1
"99","Upper Colorado Region_18",15.4754084759237,1
"100","Upper Colorado Region_19",10.9878219767766,1
"101","Upper Colorado Region_20",8.32374375618642,1
"102","Upper Colorado Region_21",7.7552055868277,1
"103","Upper Colorado Region_26",8.77137252824678,1
"104","Upper Colorado Region_27",12.0497681024673,1
"105","Upper Colorado Region_28",10.7511340630861,1
"106","Upper Colorado Region_29",9.05807308225513,1
"107","11381500_10",14.0626869157744,2
"108","11381500_13",12.7708347252546,2
"109","11381500_14",10.3732103716491,2
"110","11381500_16",7.65209855178957,2
"111","11381500_5",13.3144388967683,2
"112","11381500_7",12.4459702128762,2
"113","11381500_9",12.2243314769305,2
"114","11383500_11",14.9515133059025,2
"115","11383500_12",14.4259769469835,2
"116","11383500_14",14.724511387603,2
"117","11383500_15",12.6735395359129,2
"118","11383500_16",9.33549186856014,2
"119","11383500_17",11.8692723216736,2
"120","11383500_6",14.0455724904451,2
"121","11383500_7",11.474046954061,2
"122","11383500_9",14.3970097016059,2
"123","11473900_11",8.89327165824581,2
"124","11473900_12",9.50170775609381,2
"125","11473900_14",11.4636889200156,2
"126","11473900_8",7.41217312624014,2
"127","11523200_15",9.59478449148016,2
"128","12390700_15",12.1422331101433,2
"129","12413000_14",9.87782714160597,2
